Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Zaid Abdul-Aziz,PF,23,MIL,80,,1637,237,546,.434,,,,237,546,.434,.434,119,185,.643,,,603,62,,,,167,593,abdulza01
2,Kareem Abdul-Jabbar*,C,22,MIL,82,,3534,938,1810,.518,,,,938,1810,.518,.518,485,743,.653,,,1190,337,,,,283,2361,abdulka01
3,Rick Adelman*,PG,23,SDR,35,,717,96,247,.389,,,,96,247,.389,.389,68,91,.747,,,81,113,,,,90,260,adelmri01
4,Lucius Allen,PG,22,SEA,81,,1817,306,692,.442,,,,306,692,.442,.442,182,249,.731,,,211,342,,,,201,794,allenlu01
5,Wally Anderzunas,SF,24,CIN,44,,370,65,166,.392,,,,65,166,.392,.392,29,46,.630,,,82,9,,,,47,159,anderwa01
6,John Arthurs,G,22,MIL,11,,86,12,35,.343,,,,12,35,.343,.343,11,15,.733,,,14,17,,,,15,35,arthujo01
7,Al Attles*,PG,33,SFW,45,,676,78,202,.386,,,,78,202,.386,.386,75,113,.664,,,74,142,,,,103,231,attleal01
8,Jim Barnes,C,28,BOS,77,,1049,178,434,.410,,,,178,434,.410,.410,95,128,.742,,,350,52,,,,229,451,barneji01
9,Dick Barnett,SG,33,NYK,82,,2772,494,1039,.475,,,,494,1039,.475,.475,232,325,.714,,,221,298,,,,220,1220,barnedi01
10,Jim Barnett,SG,25,SDR,80,,2105,450,998,.451,,,,450,998,.451,.451,289,366,.790,,,305,287,,,,222,1189,barneji02
11,Johnny Baum,SF,23,CHI,3,,13,3,11,.273,,,,3,11,.273,.273,0,0,,,,4,0,,,,1,6,baumjo01
12,Elgin Baylor*,SF,35,LAL,54,,2213,511,1051,.486,,,,511,1051,.486,.486,276,357,.773,,,559,292,,,,132,1298,bayloel01
13,Butch Beard,PG,22,ATL,72,,941,183,392,.467,,,,183,392,.467,.467,135,163,.828,,,140,121,,,,124,501,beardbu01
14,Walt Bellamy*,C,30,TOT,79,,2028,351,671,.523,,,,351,671,.523,.523,215,373,.576,,,707,143,,,,260,917,bellawa01
14,Walt Bellamy*,C,30,DET,56,,1173,210,384,.547,,,,210,384,.547,.547,140,249,.562,,,397,55,,,,163,560,bellawa01
14,Walt Bellamy*,C,30,ATL,23,,855,141,287,.491,,,,141,287,.491,.491,75,124,.605,,,310,88,,,,97,357,bellawa01
15,Dave Bing*,PG,26,DET,70,,2334,575,1295,.444,,,,575,1295,.444,.444,454,580,.783,,,299,418,,,,196,1604,bingda01
16,John Block,PF,25,SDR,82,,2152,453,1025,.442,,,,453,1025,.442,.442,287,367,.782,,,609,137,,,,275,1193,blockjo01
17,Tom Boerwinkle,C,24,CHI,81,,2335,348,775,.449,,,,348,775,.449,.449,150,226,.664,,,1016,229,,,,255,846,boerwto01
18,Bob Boozer,PF,32,SEA,82,,2549,493,1005,.491,,,,493,1005,.491,.491,263,320,.822,,,717,110,,,,237,1249,boozebo01
19,Nate Bowman,C,26,NYK,81,,744,98,235,.417,,,,98,235,.417,.417,41,79,.519,,,257,46,,,,189,237,bowmana01
20,Bill Bradley*,SF,26,NYK,67,,2098,413,897,.460,,,,413,897,.460,.460,145,176,.824,,,239,268,,,,219,971,bradlbi01
21,Bill Bridges,PF,30,ATL,82,,3269,443,932,.475,,,,443,932,.475,.475,331,451,.734,,,1181,345,,,,292,1217,bridgbi01
22,Em Bryant,PG,31,BOS,71,,1617,210,520,.404,,,,210,520,.404,.404,135,181,.746,,,269,231,,,,201,555,bryanem01
23,Joe Caldwell,SG,28,ATL,82,,2857,674,1329,.507,,,,674,1329,.507,.507,379,551,.688,,,407,287,,,,255,1727,caldwjo01
24,Fred Carter,SG,24,BAL,76,,1219,157,439,.358,,,,157,439,.358,.358,80,116,.690,,,192,121,,,,137,394,cartefr01
25,Wilt Chamberlain*,C,33,LAL,12,,505,129,227,.568,,,,129,227,.568,.568,70,157,.446,,,221,49,,,,31,328,chambwi01
26,Jerry Chambers,SF,26,PHO,79,,1139,283,658,.430,,,,283,658,.430,.430,91,125,.728,,,219,54,,,,162,657,chambje01
27,Don Chaney,SG,23,BOS,63,,839,115,320,.359,,,,115,320,.359,.359,82,109,.752,,,152,72,,,,118,312,chanedo01
28,Len Chappell,SF,29,MIL,75,,1134,243,523,.465,,,,243,523,.465,.465,135,211,.640,,,276,56,,,,127,621,chapple01
29,Archie Clark,PG,28,PHI,76,,2772,594,1198,.496,,,,594,1198,.496,.496,311,396,.785,,,301,380,,,,201,1499,clarkar01
30,Barry Clemens,SF,26,SEA,78,,1487,270,595,.454,,,,270,595,.454,.454,111,140,.793,,,316,116,,,,188,651,clemeba01
31,Mel Counts,C,28,LAL,81,,2193,434,1017,.427,,,,434,1017,.427,.427,156,201,.776,,,683,160,,,,304,1024,countme01
32,Bob Cousy*,PG,41,CIN,7,,34,1,3,.333,,,,1,3,.333,.333,3,3,1.000,,,5,10,,,,11,5,cousybo01
33,Freddie Crawford,SG,28,MIL,77,,1331,243,506,.480,,,,243,506,.480,.480,101,148,.682,,,184,225,,,,181,587,crawffr01
34,Billy Cunningham*,SF,26,PHI,81,,3194,802,1710,.469,,,,802,1710,.469,.469,510,700,.729,,,1101,352,,,,331,2114,cunnibi01
35,Dick Cunningham,C,23,MIL,60,,416,52,141,.369,,,,52,141,.369,.369,22,33,.667,,,160,28,,,,70,126,cunnidi01
36,Bob Dandridge*,SF,22,MIL,81,,2461,434,895,.485,,,,434,895,.485,.485,199,264,.754,,,625,292,,,,279,1067,dandrbo01
37,Jim Davis,C,28,ATL,82,,2623,438,943,.464,,,,438,943,.464,.464,240,318,.755,,,796,238,,,,335,1116,davisji01
38,Mike Davis,SG,23,BAL,56,,1330,260,586,.444,,,,260,586,.444,.444,149,192,.776,,,128,111,,,,174,669,davismi01
39,Dave DeBusschere*,PF,29,NYK,79,,2627,488,1082,.451,,,,488,1082,.451,.451,176,256,.688,,,790,194,,,,244,1152,debusda01
40,Connie Dierking,C,33,CIN,76,,2448,521,1243,.419,,,,521,1243,.419,.419,230,306,.752,,,624,169,,,,275,1272,dierkco01
41,Terry Dischinger,SF,29,DET,75,,1754,342,650,.526,,,,342,650,.526,.526,174,241,.722,,,369,106,,,,213,858,dischte01
42,Johnny Egan,PG,31,LAL,72,,1627,215,491,.438,,,,215,491,.438,.438,99,121,.818,,,104,216,,,,171,529,eganjo01
43,Joe Ellis,SF,25,SFW,76,,2380,501,1223,.410,,,,501,1223,.410,.410,200,270,.741,,,594,139,,,,281,1202,ellisjo01
44,Leroy Ellis,C,29,BAL,72,,1163,194,414,.469,,,,194,414,.469,.469,86,116,.741,,,376,47,,,,129,474,ellisle01
45,Keith Erickson,SF,25,LAL,68,,1755,258,563,.458,,,,258,563,.458,.458,91,122,.746,,,304,209,,,,175,607,erickke01
46,Hank Finkel,C,27,BOS,80,,1866,310,683,.454,,,,310,683,.454,.454,156,233,.670,,,613,103,,,,292,776,finkeha01
47,Fred Foster,SF,23,CIN,74,,2077,461,1026,.449,,,,461,1026,.449,.449,176,243,.724,,,310,107,,,,209,1098,fostefr01
48,Jim Fox,C,26,PHO,81,,2041,413,788,.524,,,,413,788,.524,.524,218,283,.770,,,570,93,,,,261,1044,foxji01
49,Walt Frazier*,PG,24,NYK,77,,3040,600,1158,.518,,,,600,1158,.518,.518,409,547,.748,,,465,629,,,,203,1609,fraziwa01
50,Dave Gambee,SF,32,SFW,73,,951,185,464,.399,,,,185,464,.399,.399,156,186,.839,,,244,55,,,,172,526,gambeda01
51,Dick Garrett,SG,23,LAL,73,,2318,354,816,.434,,,,354,816,.434,.434,138,162,.852,,,235,180,,,,236,846,garredi01
52,Herm Gilliam,SG,23,CIN,57,,1161,179,441,.406,,,,179,441,.406,.406,68,91,.747,,,215,178,,,,163,426,gillihe01
53,Gail Goodrich*,PG,26,PHO,81,,3234,568,1251,.454,,,,568,1251,.454,.454,488,604,.808,,,340,605,,,,251,1624,goodrga01
54,Bob Greacen,SF,22,MIL,41,,292,44,109,.404,,,,44,109,.404,.404,18,28,.643,,,59,27,,,,49,106,greacbo01
55,Johnny Green,PF,36,CIN,78,,2278,481,860,.559,,,,481,860,.559,.559,254,429,.592,,,841,112,,,,268,1216,greenjo01
56,Lamar Green,PF,22,PHO,58,,700,101,234,.432,,,,101,234,.432,.432,41,70,.586,,,276,17,,,,115,243,greenla01
57,Hal Greer*,SG,33,PHI,80,,3024,705,1551,.455,,,,705,1551,.455,.455,352,432,.815,,,376,405,,,,300,1762,greerha01
58,Gary Gregor,SF,24,ATL,81,,1603,286,661,.433,,,,286,661,.433,.433,88,113,.779,,,397,63,,,,159,660,gregoga01
59,Richie Guerin*,SG,37,ATL,8,,64,3,11,.273,,,,3,11,.273,.273,1,1,1.000,,,2,12,,,,9,7,gueriri01
60,Matt Guokas,SG,25,PHI,80,,1558,189,416,.454,,,,189,416,.454,.454,106,149,.711,,,216,222,,,,201,484,guokama02
61,Al Hairston,SG,24,SEA,3,,20,3,8,.375,,,,3,8,.375,.375,1,1,1.000,,,5,6,,,,3,7,hairsal01
62,Happy Hairston,PF,27,TOT,70,,2427,483,973,.496,,,,483,973,.496,.496,326,413,.789,,,775,121,,,,230,1292,hairsha01
62,Happy Hairston,PF,27,DET,15,,282,57,103,.553,,,,57,103,.553,.553,45,63,.714,,,88,11,,,,36,159,hairsha01
62,Happy Hairston,PF,27,LAL,55,,2145,426,870,.490,,,,426,870,.490,.490,281,350,.803,,,687,110,,,,194,1133,hairsha01
63,Shaler Halimon,SG,24,CHI,38,,517,96,244,.393,,,,96,244,.393,.393,49,73,.671,,,68,69,,,,58,241,halimsh01
64,Art Harris,SG,23,TOT,81,,1553,285,723,.394,,,,285,723,.394,.394,86,134,.642,,,161,231,,,,220,656,harriar01
64,Art Harris,SG,23,SEA,5,,178,28,73,.384,,,,28,73,.384,.384,4,9,.444,,,19,20,,,,11,60,harriar01
64,Art Harris,SG,23,PHO,76,,1375,257,650,.395,,,,257,650,.395,.395,82,125,.656,,,142,211,,,,209,596,harriar01
65,Clem Haskins,SG,26,CHI,82,,3214,668,1486,.450,,,,668,1486,.450,.450,332,424,.783,,,378,624,,,,237,1668,haskicl01
66,John Havlicek*,SG,29,BOS,81,,3369,736,1585,.464,,,,736,1585,.464,.464,488,578,.844,,,635,550,,,,211,1960,havlijo01
67,Connie Hawkins*,SF,27,PHO,81,,3312,709,1447,.490,,,,709,1447,.490,.490,577,741,.779,,,846,391,,,,287,1995,hawkico01
68,Elvin Hayes*,C,24,SDR,82,,3665,914,2020,.452,,,,914,2020,.452,.452,428,622,.688,,,1386,162,,,,270,2256,hayesel01
69,Walt Hazzard,PG,27,ATL,82,,2757,493,1056,.467,,,,493,1056,.467,.467,267,330,.809,,,329,561,,,,264,1253,abdulma01
70,Brian Heaney,G,23,BAL,14,,70,13,24,.542,,,,13,24,.542,.542,2,4,.500,,,4,6,,,,17,28,heanebr01
71,Fred Hetzel,SF,27,PHI,63,,757,156,323,.483,,,,156,323,.483,.483,71,85,.835,,,207,44,,,,110,383,hetzefr01
72,Bill Hewitt,PF,25,TOT,65,,1279,110,298,.369,,,,110,298,.369,.369,54,94,.574,,,354,64,,,,130,274,hewitbi01
72,Bill Hewitt,PF,25,LAL,20,,478,25,88,.284,,,,25,88,.284,.284,16,31,.516,,,141,28,,,,39,66,hewitbi01
72,Bill Hewitt,PF,25,DET,45,,801,85,210,.405,,,,85,210,.405,.405,38,63,.603,,,213,36,,,,91,208,hewitbi01
73,Bill Hosket,PF,23,NYK,36,,235,46,91,.505,,,,46,91,.505,.505,26,33,.788,,,63,17,,,,36,118,hoskebi01
74,Bailey Howell*,PF,33,BOS,82,,2078,399,931,.429,,,,399,931,.429,.429,235,308,.763,,,550,120,,,,261,1033,howelba01
75,Lou Hudson*,SF,25,ATL,80,,3091,830,1564,.531,,,,830,1564,.531,.531,371,450,.824,,,373,276,,,,225,2031,hudsolo01
76,Darrall Imhoff,C,31,PHI,79,,2474,430,796,.540,,,,430,796,.540,.540,215,331,.650,,,754,211,,,,294,1075,imhofda01
77,Luke Jackson,PF,28,PHI,37,,583,71,181,.392,,,,71,181,.392,.392,60,81,.741,,,198,50,,,,80,202,jackslu01
78,Gus Johnson*,PF,31,BAL,78,,2919,578,1282,.451,,,,578,1282,.451,.451,197,272,.724,,,1086,264,,,,269,1353,johnsgu01
79,Neil Johnson,PF,26,PHO,28,,136,20,60,.333,,,,20,60,.333,.333,8,12,.667,,,47,12,,,,38,48,johnsne02
80,Rich Johnson,C,23,BOS,65,,898,167,361,.463,,,,167,361,.463,.463,46,70,.657,,,208,32,,,,155,380,johnsri01
81,Wali Jones,PG,27,PHI,78,,1740,366,851,.430,,,,366,851,.430,.430,190,226,.841,,,173,276,,,,210,922,joneswa02
82,Bob Kauffman,PF,23,CHI,64,,775,94,221,.425,,,,94,221,.425,.425,88,123,.715,,,211,76,,,,117,276,kauffbo01
83,Joe Kennedy,SF,23,SEA,14,,82,3,34,.088,,,,3,34,.088,.088,2,2,1.000,,,20,7,,,,7,8,kennejo01
84,Toby Kimball,PF,27,SDR,77,,1622,218,508,.429,,,,218,508,.429,.429,107,185,.578,,,621,95,,,,187,543,kimbato01
85,Jim King,PG,28,TOT,34,,391,53,129,.411,,,,53,129,.411,.411,33,41,.805,,,62,52,,,,47,139,kingji01
85,Jim King,PG,28,SFW,3,,105,19,46,.413,,,,19,46,.413,.413,11,14,.786,,,16,10,,,,8,49,kingji01
85,Jim King,PG,28,CIN,31,,286,34,83,.410,,,,34,83,.410,.410,22,27,.815,,,46,42,,,,39,90,kingji01
86,Don Kojis,SF,31,SDR,56,,1578,338,756,.447,,,,338,756,.447,.447,181,241,.751,,,388,78,,,,135,857,kojisdo01
87,Howard Komives,PG,28,DET,82,,2418,363,878,.413,,,,363,878,.413,.413,190,234,.812,,,193,312,,,,247,916,komivho01
88,Steve Kuberski,PF,22,BOS,51,,797,130,335,.388,,,,130,335,.388,.388,64,92,.696,,,257,29,,,,87,324,kuberst01
89,Stu Lantz,PG,23,SDR,82,,2471,455,1027,.443,,,,455,1027,.443,.443,278,361,.770,,,255,287,,,,238,1188,lantzst01
